1,1,0.0016638935108153079,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
94,1,0.15640599001663893,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
94,2,0.15640599001663893,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: High labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
95,1,0.15806988352745424,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
95,2,0.15806988352745424,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
96,1,0.15973377703826955,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
96,2,0.15973377703826955,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
97,1,0.16139767054908485,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
97,2,0.16139767054908485,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
98,1,0.16306156405990016,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
98,2,0.16306156405990016,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
99,1,0.16472545757071547,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
99,2,0.16472545757071547,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
100,1,0.16638935108153077,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
100,2,0.16638935108153077,Lab3@3,(Offer  bid:Bid[Social Security: welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
101,1,0.16805324459234608,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
101,2,0.16805324459234608,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Just people from the EU, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs legal])
102,1,0.16971713810316139,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
102,2,0.16971713810316139,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs tolerated])
103,1,0.1713810316139767,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
103,2,0.1713810316139767,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: High labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs legal])
104,1,0.17304492512479203,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
104,2,0.17304492512479203,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Medium tax, Usage of army: Army for peace mission, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
105,1,0.17470881863560733,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
105,2,0.17470881863560733,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: High labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
106,1,0.17637271214642264,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
106,2,0.17637271214642264,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for peace mission, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
107,1,0.17803660565723795,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
107,2,0.17803660565723795,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
108,1,0.17970049916805325,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
108,2,0.17970049916805325,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
109,1,0.18136439267886856,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
109,2,0.18136439267886856,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: High labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
110,1,0.18302828618968386,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
110,2,0.18302828618968386,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs legal])
111,1,0.18469217970049917,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
111,2,0.18469217970049917,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
112,1,0.18635607321131448,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
112,2,0.18635607321131448,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army for peace mission, Immigration policy: People from the EU and refugees, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: All drugs legal])
113,1,0.18801996672212978,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
113,2,0.18801996672212978,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for peace mission, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
114,1,0.1896838602329451,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
114,2,0.1896838602329451,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
115,1,0.1913477537437604,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
115,2,0.1913477537437604,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
116,1,0.1930116472545757,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
116,2,0.1930116472545757,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs legal])
117,1,0.194675540765391,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
117,2,0.194675540765391,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: High labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
118,1,0.19633943427620631,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
118,2,0.19633943427620631,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
119,1,0.19800332778702162,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
119,2,0.19800332778702162,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
120,1,0.19966722129783693,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
120,2,0.19966722129783693,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs legal])
121,1,0.20133111480865223,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
121,2,0.20133111480865223,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
122,1,0.20299500831946754,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
122,2,0.20299500831946754,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: High labor tax, Environmental tax: Low tax, Usage of army: Army for peace mission, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
123,1,0.20465890183028287,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
123,2,0.20465890183028287,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
124,1,0.20632279534109818,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
124,2,0.20632279534109818,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
125,1,0.2079866888519135,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
125,2,0.2079866888519135,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
126,1,0.2096505823627288,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
126,2,0.2096505823627288,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army for peace mission, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
127,1,0.2113144758735441,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
127,2,0.2113144758735441,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
128,1,0.2129783693843594,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
128,2,0.2129783693843594,Lab3@3,(Offer  bid:Bid[Social Security: welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
129,1,0.2146422628951747,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
129,2,0.2146422628951747,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs legal])
130,1,0.21630615640599002,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
130,2,0.21630615640599002,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army for peace mission, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: All drugs legal])
131,1,0.21797004991680533,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
131,2,0.21797004991680533,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs tolerated])
132,1,0.21963394342762063,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
132,2,0.21963394342762063,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Just refugees, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs tolerated])
133,1,0.22129783693843594,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
133,2,0.22129783693843594,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
134,1,0.22296173044925124,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
134,2,0.22296173044925124,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: High labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: People from the EU and refugees, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
135,1,0.22462562396006655,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
135,2,0.22462562396006655,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army for peace mission, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
136,1,0.22628951747088186,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
136,2,0.22628951747088186,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
137,1,0.22795341098169716,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
137,2,0.22795341098169716,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs legal])
138,1,0.22961730449251247,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
138,2,0.22961730449251247,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Medium tax, Usage of army: Army for peace mission, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
139,1,0.23128119800332778,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
139,2,0.23128119800332778,Lab3@3,(Offer  bid:Bid[Social Security: welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs tolerated])
140,1,0.23294509151414308,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
140,2,0.23294509151414308,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: High labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
141,1,0.23460898502495842,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
